0.9908,0.0000,0.0029,0.0000,0.0000,0.0034,0.0042,0.0010,0.0010,0.0010
0.0000,0.9938,0.0019,0.0000,0.0000,0.0000,0.0021,0.0019,0.0000,0.0030
0.0000,0.0035,0.9884,0.0079,0.0041,0.0000,0.0000,0.0068,0.0031,0.0000
0.0000,0.0000,0.0010,0.9752,0.0000,0.0034,0.0000,0.0000,0.0000,0.0010
0.0000,0.0000,0.0010,0.0000,0.9766,0.0000,0.0010,0.0019,0.0031,0.0059
0.0000,0.0000,0.0000,0.0040,0.0000,0.9832,0.0042,0.0000,0.0010,0.0020
0.0031,0.0000,0.0000,0.0000,0.0051,0.0034,0.9885,0.0000,0.0010,0.0000
0.0020,0.0000,0.0029,0.0040,0.0010,0.0000,0.0000,0.9776,0.0021,0.0010
0.0041,0.0026,0.0019,0.0050,0.0000,0.0022,0.0000,0.0010,0.9836,0.0000
0.0000,0.0000,0.0000,0.0040,0.0132,0.0045,0.0000,0.0097,0.0051,0.9861
