0.5003,0.8458,0.9506,9.3091
0.1826,0.9461,0.9690,19.5408
0.1358,0.9607,0.9694,28.7508
0.1160,0.9660,0.9756,37.9035
0.1012,0.9714,0.9777,47.1627
0.0911,0.9747,0.9789,56.4264
0.0861,0.9760,0.9771,65.8339
0.0791,0.9777,0.9799,75.2421
0.0772,0.9787,0.9801,84.8540
0.0702,0.9808,0.9824,94.5580
0.0668,0.9817,0.9810,103.6734
0.0634,0.9825,0.9816,112.7485
0.0614,0.9832,0.9808,121.8099
0.0569,0.9845,0.9808,130.8809
0.0543,0.9854,0.9836,139.9360
0.0550,0.9860,0.9822,149.0637
0.0530,0.9862,0.9820,158.2375
0.0540,0.9867,0.9826,167.3120
0.0504,0.9874,0.9841,176.4035
0.0521,0.9878,0.9825,186.2280
0.0484,0.9877,0.9840,196.4740
0.0476,0.9882,0.9833,206.1898
0.0479,0.9881,0.9812,215.3049
0.0485,0.9878,0.9830,224.6415
0.0431,0.9891,0.9839,233.9904
0.0447,0.9889,0.9840,243.1060
0.0420,0.9895,0.9842,252.2189
0.0433,0.9892,0.9845,261.3868
0.0422,0.9900,0.9823,270.5107
0.0452,0.9896,0.9838,279.7421
